Grattan_record	Symbol	Company	Project	Date start	Completion date	Status	Major industry	Sub-industry	State	Employment Construction	Operation	Contact No.	sheet	Start date	Employment Operation	Change 	Production date	               Employment Construction	End date	Major sector	Sub-sector	Ownership	Capacity	Units	Project detail changes	Statistical Division	Cost_estimate	Lucille_Ownership	Record_date	Cost_estimate_real	Final_status_historical
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	798.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-03-01	146334841.62895927	Completed
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	785.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-06-01	147e6	Completed
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	852.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-09-01	145675675.6756757	Completed
1894.0	#	Australian Transport Networks	Upgrade of Emu Bay railway	1998	2002	Under construction	Transport & Storage	Rail	Tasmania	NA	NA	785.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-12-01	144805970.14925373	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	863.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-03-01	276410256.41025645	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	856.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-06-01	277666666.6666667	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	928.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-09-01	275165165.1651652	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	855.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2001-12-01	273522388.0597015	Completed
2028.0	NA	Vic Roads / RTA	Bridge over Murray River, Robinvale	Planning and consultation complete	NA	Under consideration	Transport & Storage	Road	Victoria	NA	NA	822.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17e7	Public	2002-03-01	271094674.556213	Completed
2028.0	~^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NSW Budget commitment 2002/03	NA	Committed	Transport & Storage	Road	New South Wales	NA	NA	562.0	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2002-06-01	631332357.2474378	Completed
2028.0	^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2002	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	526.0	Sep 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2002-09-01	625834542.8156748	Completed
2028.0	^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NSW and Vic govt planning underway	NA	Under consideration	Transport & Storage	Road	New South Wales	NA	NA	532.0	Dec 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2002-12-01	621325648.4149855	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NSW and Vic govt planning underway	NA	Under consideration	Transport & Storage	Road	New South Wales	NA	NA	519.0	Mar 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-03-01	611631205.6737589	Completed
2028.0	~^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Committed	Transport & Storage	Road	New South Wales	NA	NA	509.0	Jun 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-06-01	597229916.897507	Completed
2028.0	^	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	513.0	Sep 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-09-01	585074626.8656716	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	496.0	Dec 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2003-12-01	578016085.7908847	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	496.0	Mar 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e8	Public	2004-03-01	563660130.7189542	Completed
2028.0	~	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	496.0	Jun 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2004-06-01	703043478.2608695	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	579.0	Sep 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2004-09-01	692418136.0201511	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	2H 2003	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	579.0	Dec 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2004-12-01	677903822.4414303	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	478.0	Mar 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2005-03-01	665593220.338983	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	448.0	Jun 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2005-06-01	658419161.6766467	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	465.0	Sep 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2005-09-01	651398104.2654028	Completed
2028.0	NA	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	472.0	Dec 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2005-12-01	646039952.9964747	Completed
2028.0	~	NSW Roads and Traffic Authority	Bridge over Murray River, Robinvale	NA	Mid 2006	Under construction	Transport & Storage	Road	New South Wales	NA	NA	474.0	Mar 2006	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2006-03-01	640769230.7692308	Completed
2028.0	~	NSW Roads and Traffic Authority	New bridge over Murray River, and approaches at Euston, Robinvale	NA	Mid 2006	Under construction	Transport & Storage	Road	New South Wales	NA	NA	498.0	Jun 2006	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2006-06-01	631931034.4827586	Completed
2028.0	NA	NSW Roads and Traffic Authority	New bridge over Murray River, and approaches at Euston, Robinvale	NA	Mid 2006	Under construction	Transport & Storage	Road	New South Wales	NA	NA	501.0	Sep 2006	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2006-09-01	626173120.7289294	Completed
2028.0	NA	NSW Roads and Traffic Authority	New bridge over Murray River, and approaches at Euston, Robinvale	NA	2006	Under construction	Transport & Storage	Road	New South Wales	NA	NA	517.0	Dec 2006	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51e7	Public	2006-12-01	621220338.9830508	Completed
2060.0	#	Yarra Trams	Extension of Mont Albert tram line to Box Hill	In planning for Jun 2002šcompletion	NA	Under consideration	Transport & Storage	Rail	Victoria	NA	NA	926.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14e7	Public	2001-03-01	227631975.86727	Completed
2060.0	^#	Yarra Trams / Vic Govt	Extension of Mont Albert tram line to Box Hill	2001/02 Vic Budget commitment	NA	Committed	Transport & Storage	Rail	Victoria	NA	NA	926.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e8	Public	2001-06-01	326666666.6666667	Completed
2060.0	^#	Yarra Trams / Vic Govt	Extension of Mont Albert tram line to Box Hill	37135	37500	Under construction	Transport & Storage	Rail	Victoria	NA	NA	990.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e8	Public	2001-09-01	323723723.72372377	Completed
2060.0	#	Yarra Trams / Vic Govt	Extension of Mont Albert tram line to Box Hill	37135	37500	Under construction	Transport & Storage	Rail	Victoria	NA	NA	912.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e8	Public	2001-12-01	321791044.7761194	Completed
2060.0	NA	Yarra Trams / Vic Govt	Extension of Mont Albert tram line to Box Hill	37135	37500	Under construction	Transport & Storage	Road	Victoria	NA	NA	879.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e8	Public	2002-03-01	318934911.2426036	Completed
2060.0	NA	Yarra Trams / Vic Govt	Extension of Mont Albert tram line to Box Hill	37135	37500	Under construction	Transport & Storage	Road	Victoria	NA	NA	907.0	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2e8	Public	2002-06-01	315666178.6237189	Completed
2175.0	NA	Qld Dept of Main Roads	Pedestrian bridge linking Brisbane CBD to South Bank Parklands	36708	End 2001	Under construction	Transport & Storage	Road	Queensland	NA	NA	264.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18e7	Public	2001-03-01	292669683.25791854	Completed
2175.0	^	Qld Dept of Main Roads	Pedestrian bridge linking Brisbane CBD to South Bank Parklands	36708	End 2001	Under construction	Transport & Storage	Road	Queensland	NA	NA	654.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32e7	Public	2001-06-01	522666666.6666667	Completed
2210.0	NA	NSW Roads Corp / RTA	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	863.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12e7	Public	2001-03-01	195113122.17194572	Completed
2210.0	NA	NSW Roads Corp / RTA	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	856.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12e7	Public	2001-06-01	196e6	Completed
2210.0	NA	NSW Roads Corp / RTA	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	928.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12e7	Public	2001-09-01	194234234.23423424	Completed
2210.0	NA	NSW Roads Corp / RTA	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	855.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12e7	Public	2001-12-01	193074626.86567163	Completed
2210.0	NA	NSW Roads Corp / RTA	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	822.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12e7	Public	2002-03-01	191360946.74556214	Completed
2210.0	~	NSW Dept of Transport	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2002-06-01	299882869.69253296	Completed
2210.0	NA	NSW Dept of Transport	Bridge over Murray River, Corowa	Early 2000	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Sep 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2002-09-01	297271407.83744556	Completed
2210.0	^	Transport NSW	Bridge over Murray River, Corowa	NSW & Vic govt planning underway	NA	Under consideration	Transport & Storage	Road	New South Wales	NA	NA	772.0	Dec 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2002-12-01	295129682.9971181	Completed
2210.0	NA	Transport NSW	Bridge over Murray River, Corowa	NSW & Vic govt planning underway	NA	Under consideration	Transport & Storage	Road	New South Wales	NA	NA	749.0	Mar 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2003-03-01	290524822.69503546	Completed
2210.0	^	Transport NSW	Bridge over Murray River, Corowa	2H 2003	2004	Committed	Transport & Storage	Road	New South Wales	NA	NA	740.0	Jun 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2003-06-01	283684210.52631575	Completed
2210.0	^	Transport NSW	Bridge over Murray River, Corowa	2H 2003	2004	Under construction	Transport & Storage	Road	New South Wales	NA	NA	752.0	Sep 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2003-09-01	277910447.761194	Completed
2210.0	NA	Transport NSW	Bridge over Murray River, Corowa	2H 2003	2004	Under construction	Transport & Storage	Road	New South Wales	NA	NA	730.0	Dec 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2003-12-01	274557640.75067025	Completed
2210.0	NA	Transport NSW	Bridge over Murray River, Corowa	2H 2003	2004	Under construction	Transport & Storage	Road	New South Wales	NA	NA	730.0	Mar 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2004-03-01	267738562.09150326	Completed
2210.0	~	NSW Dept of Transport	Bridge over Murray River, Corowa	2H 2003	1H 2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Jun 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22e7	Public	2004-06-01	303273657.28900254	Completed
2210.0	NA	NSW Dept of Transport	Bridge over Murray River, Corowa	2H 2003	1H 2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Sep 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22e7	Public	2004-09-01	298690176.3224181	Completed
2210.0	NA	NSW Dept of Transport	Bridge over Murray River, Corowa	2H 2003	1H 2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Dec 2004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22e7	Public	2004-12-01	292429099.87669545	Completed
2210.0	NA	NSW Dept of Transport	Bridge over Murray River, Corowa	NA	1H 2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Mar 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22e7	Public	2005-03-01	287118644.06779665	Completed
2210.0	NA	NSW Dept of Transport	Bridge over Murray River, Corowa	NA	1H 2005	Under construction	Transport & Storage	Road	New South Wales	NA	NA	NA	Jun 2005	2H 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22e7	Public	2005-06-01	284023952.0958084	Completed
2241.0	#	Flinders Power Pty Ltd	Leigh Creek - Port Augusta rail track maintenance	2000	2004	Under construction	Transport & Storage	Rail	South Australia	NA	NA	322.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-03-01	243891402.71493214	Completed
2241.0	#	Flinders Power Pty Ltd	Leigh Creek - Port Augusta rail track maintenance	2000	2004	Under construction	Transport & Storage	Rail	South Australia	NA	NA	309.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-06-01	245e6	Completed
2241.0	#	Flinders Power Pty Ltd	Leigh Creek - Port Augusta rail track maintenance	2000	2004	Under construction	Transport & Storage	Rail	South Australia	NA	NA	339.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-09-01	242792792.79279283	Completed
2241.0	^#	NRG Energy	Leigh Creek - Port Augusta rail track maintenance	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	NA	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-12-01	241343283.58208954	Completed
2241.0	NA	NRG Energy	Leigh Creek - Port Augusta rail track 	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	NA	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2002-03-01	239201183.4319527	Completed
2241.0	NA	NRG Energy	Leigh Creek - Port Augusta rail track 	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	NA	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2002-06-01	236749633.96778917	Completed
2241.0	NA	NRG Energy	Leigh Creek - Port Augusta rail track 	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	NA	Sep 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2002-09-01	234687953.55587807	Completed
2241.0	NA	NRG Energy	Leigh Creek - Port Augusta rail track 	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	519.0	Dec 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2002-12-01	232997118.1556196	Completed
2241.0	NA	NRG Energy	Leigh Creek - Port Augusta rail track 	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	504.0	Mar 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2003-03-01	229361702.1276596	Completed
2241.0	NA	NRG Asia-Pacific Ltd 	Leigh Creek - Port Augusta rail track 	2000	2004	Under construction	Transport & Storage	Rail	South Australia	*	NA	494.0	Jun 2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2003-06-01	223961218.83656508	Completed
2261.0	NA	Vic Dept of Infrastructure	Expansion of Cooper St to four lanes, Epping	1999-00	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	262.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2001-03-01	308929110.1055807	Completed
2261.0	NA	Vic Dept of Infrastructure	Expansion of Cooper St to four lanes, Epping	1999-00	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	850.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2001-06-01	310333333.3333333	Completed
2261.0	NA	Vic Dept of Infrastructure	Expansion of Cooper St to four lanes, Epping	1999-00	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	922.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2001-09-01	307537537.5375376	Completed
2261.0	NA	Vic Dept of Infrastructure	Expansion of Cooper St to four lanes, Epping	1999-00	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	849.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2001-12-01	305701492.53731346	Completed
2261.0	NA	Vic Dept of Infrastructure	Expansion of Cooper St to four lanes, Epping	1999-00	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	817.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19e7	Public	2002-03-01	302988165.6804734	Completed
2419.0	#	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	2004	Under construction	Transport & Storage	Rail	Victoria	NA	NA	32.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2001-03-01	162594268.47662142	Completed
2419.0	#	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	2004	Under construction	Transport & Storage	Rail	Victoria	NA	NA	33.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2001-06-01	163333333.33333334	Completed
2419.0	#	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	2004	Under construction	Transport & Storage	Rail	Victoria	NA	NA	35.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2001-09-01	161861861.86186188	Completed
2419.0	#	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	2004	Under construction	Transport & Storage	Rail	Victoria	NA	NA	35.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2001-12-01	160895522.3880597	Completed
2419.0	NA	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	2004	Under construction	Transport & Storage	Rail	Victoria	NA	NA	34.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2002-03-01	159467455.6213018	Completed
2419.0	NA	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	2004	Under construction	Transport & Storage	Rail	Victoria	NA	NA	32.0	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2002-06-01	157833089.31185946	Completed
2419.0	NA	Alstom Australia / Great Northern Rail Services	Expansion and improvements to former PTC Ballarat workshop and Bendigo maintenance facility	Late 1999	37530	Under construction	Transport & Storage	Rail	Victoria	NA	NA	32.0	Sep 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e8	Public	2002-09-01	156458635.7039187	Completed
2482.0	NA	Vic Roads	'Federation Trail' bicycle track (27 km), Melbourne	Late 2000	Mid 2002	Under construction	Transport & Storage	Road	Victoria	NA	NA	863.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-03-01	243891402.71493214	Completed
2482.0	NA	Vic Roads	'Federation Trail' bicycle track (27 km), Melbourne	Late 2000	Mid 2002	Under construction	Transport & Storage	Road	Victoria	NA	NA	856.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-06-01	245e6	Completed
2482.0	NA	Vic Roads	'Federation Trail' bicycle track (27 km), Melbourne	Late 2000	Mid 2002	Under construction	Transport & Storage	Road	Victoria	NA	NA	928.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-09-01	242792792.79279283	Completed
2482.0	NA	Vic Roads	'Federation Trail' bicycle track (27 km), Melbourne	Late 2000	Mid 2002	Under construction	Transport & Storage	Road	Victoria	NA	NA	855.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2001-12-01	241343283.58208954	Completed
2482.0	NA	Vic Roads	'Federation Trail' bicycle track (27 km), Melbourne	Late 2000	Mid 2002	Under construction	Transport & Storage	Road	Victoria	NA	NA	822.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2002-03-01	239201183.4319527	Completed
2482.0	NA	Vic Roads	'Federation Trail' bicycle track (27 km), Melbourne	Late 2000	Mid 2002	Under construction	Transport & Storage	Road	Victoria	NA	NA	845.0	Jun 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15e7	Public	2002-06-01	236749633.96778917	Completed
3724.0	NA	Vic Govt / Port of Geelong	Road linking Port of Geelong to rail system	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	262.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-03-01	146334841.62895927	Completed
3724.0	NA	Vic Govt / Port of Geelong	Road linking Port of Geelong to rail system	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	850.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-06-01	147e6	Completed
3724.0	NA	Vic Govt / Port of Geelong	Road linking Port of Geelong to rail system	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	922.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-09-01	145675675.6756757	Completed
3724.0	NA	Vic Govt / Port of Geelong	Road linking Port of Geelong to rail system	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	849.0	Dec 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2001-12-01	144805970.14925373	Completed
3724.0	NA	Vic Govt / Port of Geelong	Road linking Port of Geelong to rail system	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	817.0	Mar 2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e7	Public	2002-03-01	143520710.05917162	Completed
3727.0	NA	Vic Govt	Road upgrade, south-west Gippsland, including Bass Hwy & Phillip Island Rd	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	262.0	Mar 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7e7	Public	2001-03-01	113815987.933635	Completed
3727.0	NA	Vic Govt	Road upgrade, south-west Gippsland, including Bass Hwy & Phillip Island Rd	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	850.0	Jun 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7e7	Public	2001-06-01	114333333.33333333	Completed
3727.0	NA	Vic Govt	Road upgrade, south-west Gippsland, including Bass Hwy & Phillip Island Rd	2000	NA	Under construction	Transport & Storage	Road	Victoria	NA	NA	922.0	Sep 2001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7e7	Public	2001-09-01	113303303.30330332	Completed
